# generated_utc	2026-08-14T15:34:58+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1623
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_38	peakpos_38	peak_281	peakpos_281	peak_464	peakpos_464	peak_1430	peakpos_1430	peak_1790	peakpos_1790	peak_1888	peakpos_1888	peak_2094	peakpos_2094	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	seed_name	seed_string	target_dest	branch	rng_seed	evaluation_index	source_string	source_token_ids	intended_token_ids	realised_token_ids	intended_n_tok	realised_n_tok	intended_edit_distance	realised_edit_distance	roundtrip_stable	intervention_agrees	edit_position
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081347	3	0.11632	0	0.175272	2	-0.003387	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	SEED	NA	0	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 707]	[265, 16640, 259, 707]	4	4	0	0	1	1	NA
it was Mackinaw	1	R	5	20	0.253071	4	1430	3.134665	["it", " was", " Mack", "in", "aw"]	[270, 373, 16640, 259, 707]	3.134665	4	0.664959	2	0.169025	1	0.163932	1	2.881595	4	2.132133	4	2.662537	1	0.239423	0	2.36087	0	it was Mackin	20	0.253071	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	1	at Mackinaw	[265, 16640, 259, 707]	[270, 373, 16640, 259, 707]	[270, 373, 16640, 259, 707]	5	5	2	2	1	1	NA
it is Mackinaw	1	R	5	20	0.346351	4	1888	3.115188	["it", " is", " Mack", "in", "aw"]	[270, 318, 16640, 259, 707]	3.115188	4	0.11632	0	0.169025	1	0.376973	2	2.75564	4	2.235741	4	2.768837	3	0.239423	0	2.36087	0	it is Mackin	20	0.346351	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	2	at Mackinaw	[265, 16640, 259, 707]	[270, 318, 16640, 259, 707]	[270, 318, 16640, 259, 707]	5	5	2	2	1	1	NA
it felt Mackinaw	1	R	5	20	0.281214	4	1430	3.062205	["it", " felt", " Mack", "in", "aw"]	[270, 2936, 16640, 259, 707]	3.062205	4	2.053698	2	0.350019	2	0.163932	1	2.780991	4	2.016331	1	2.662537	1	0.239423	0	2.36087	0	it felt Mackin	20	0.281214	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	3	at Mackinaw	[265, 16640, 259, 707]	[270, 2936, 16640, 259, 707]	[270, 2936, 16640, 259, 707]	5	5	2	2	1	1	NA
it seemed Mackinaw	1	R	5	20	0.39619	4	1430	3.136997	["it", " seemed", " Mack", "in", "aw"]	[270, 3947, 16640, 259, 707]	3.136997	4	1.447609	2	0.181208	2	0.163932	1	2.740807	4	2.016331	1	2.662537	1	0.239423	0	2.36087	0	it seemed Mackin	20	0.39619	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	4	at Mackinaw	[265, 16640, 259, 707]	[270, 3947, 16640, 259, 707]	[270, 3947, 16640, 259, 707]	5	5	2	2	1	1	NA
this was Mackinaw	1	R	5	20	0.271438	4	1430	3.090024	["this", " was", " Mack", "in", "aw"]	[5661, 373, 16640, 259, 707]	3.090024	4	0.11632	0	0.365055	1	0.825628	1	2.818586	4	2.167258	4	2.611214	3	0.239423	0	2.36087	0	this was Mackin	20	0.271438	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	5	at Mackinaw	[265, 16640, 259, 707]	[5661, 373, 16640, 259, 707]	[5661, 373, 16640, 259, 707]	5	5	2	2	1	1	NA
that was Mackinaw	1	R	5	20	0.236437	4	1430	3.091458	["that", " was", " Mack", "in", "aw"]	[5562, 373, 16640, 259, 707]	3.091458	4	0.11632	0	-0.000821	0	0.378389	1	2.855021	4	2.143235	1	2.431978	1	0.239423	0	2.36087	0	that was Mackin	20	0.236437	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	6	at Mackinaw	[265, 16640, 259, 707]	[5562, 373, 16640, 259, 707]	[5562, 373, 16640, 259, 707]	5	5	2	2	1	1	NA
everything was Mackinaw	1	R	5	20	0.261162	4	1430	3.039054	["everything", " was", " Mack", "in", "aw"]	[37814, 373, 16640, 259, 707]	3.039054	4	0.671892	2	0.507138	1	-0.001162	5	2.777892	4	2.620756	1	2.609196	3	0.239423	0	2.36087	0	everything was Mackin	20	0.261162	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	7	at Mackinaw	[265, 16640, 259, 707]	[37814, 373, 16640, 259, 707]	[37814, 373, 16640, 259, 707]	5	5	2	2	1	1	NA
nothing was Mackinaw	1	R	5	20	0.302742	4	1613	3.082702	["nothing", " was", " Mack", "in", "aw"]	[22366, 373, 16640, 259, 707]	3.082702	4	0.573002	2	0.006462	1	0.021808	1	2.731168	4	2.174716	4	2.697892	3	0.239423	0	2.36087	0	nothing was Mackin	20	0.302742	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	8	at Mackinaw	[265, 16640, 259, 707]	[22366, 373, 16640, 259, 707]	[22366, 373, 16640, 259, 707]	5	5	2	2	1	1	NA
the air was Mackinaw	1	R	6	2073	0.377238	2	20	3.571815	["the", " air", " was", " Mack", "in", "aw"]	[1169, 1633, 373, 16640, 259, 707]	3.194577	5	1.204248	3	0.510449	2	0.516699	1	2.826279	5	2.74375	1	2.628915	4	0.239423	0	2.36087	0	the air	2073	0.828063	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	9	at Mackinaw	[265, 16640, 259, 707]	[1169, 1633, 373, 16640, 259, 707]	[1169, 1633, 373, 16640, 259, 707]	6	6	3	3	1	1	NA
